"filename", "language", "HTML", "TypeScript", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\FeatureGridSection\FeatureGridSection.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\FeatureGridSection\FeatureGridSection.component.ts", "TypeScript", 0, 17, 0, 0, 3, 9, 29
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\FeatureSection\FeatureSection.component.html", "HTML", 32, 0, 0, 0, 0, 0, 32
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\FeatureSection\FeatureSection.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\FeatureSection\FeatureSection.component.ts", "TypeScript", 0, 18, 0, 0, 4, 10, 32
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\ParallaxSection\Parallax.component.html", "HTML", 14, 0, 0, 0, 2, 1, 17
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\ParallaxSection\Parallax.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\ParallaxSection\Parallax.component.ts", "TypeScript", 0, 14, 0, 0, 0, 6, 20
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\PopuplarCategories\PopularCategories.component.html", "HTML", 31, 0, 0, 0, 3, 0, 34
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\PopuplarCategories\PopularCategories.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\PopuplarCategories\PopularCategories.component.ts", "TypeScript", 0, 47, 0, 0, 3, 10, 60
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Services\Services.component.html", "HTML", 21, 0, 0, 0, 0, 2, 23
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Services\Services.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Services\Services.component.ts", "TypeScript", 0, 17, 0, 0, 3, 9, 29
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\SmallGallerySlider\SmallGallerySlider.component.html", "HTML", 8, 0, 0, 0, 0, 0, 8
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\SmallGallerySlider\SmallGallerySlider.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\SmallGallerySlider\SmallGallerySlider.component.ts", "TypeScript", 0, 44, 0, 0, 2, 15, 61
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Team\Team.component.html", "HTML", 34, 0, 0, 0, 0, 0, 34
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Team\Team.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Team\Team.component.ts", "TypeScript", 0, 17, 0, 0, 3, 9, 29
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Testimonial\Testimonial.component.html", "HTML", 22, 0, 0, 0, 4, 3, 29
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Testimonial\Testimonial.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Testimonial\Testimonial.component.ts", "TypeScript", 0, 41, 0, 0, 3, 10, 54
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\TitleBar\TitleBar.component.html", "HTML", 19, 0, 0, 0, 1, 1, 21
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\TitleBar\TitleBar.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\TitleBar\TitleBar.component.ts", "TypeScript", 0, 20, 0, 0, 0, 8, 28
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\global.module.ts", "TypeScript", 0, 49, 0, 0, 0, 5, 54
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\helpers\jwt.interceptor.ts", "TypeScript", 0, 18, 0, 0, 1, 3, 22
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\layouts\adminPanel\AdminPanelLayout.component.html", "HTML", 8, 0, 0, 0, 3, 0, 11
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\layouts\adminPanel\AdminPanelLayout.component.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\layouts\auth\auth-layout.component.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\layouts\auth\auth-layout.component.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\layouts\frontendPanel\FrontendPanel.component.html", "HTML", 6, 0, 0, 0, 4, 9, 19
